property_id,title,location,district,region,latitude,longitude,price,property_type,bedrooms,bathrooms,area_size,listing_type,year_built,furnished,dist_to_beach,property_type_encoded,listing_type_encoded,location_score,is_beachfront,is_tourist_area,dist_to_city
PROP1000,Charming 3 Bedroom Condo in Mahebourg,Mahebourg,Grand Port,East,-20.400410714278017,57.70977107155733,195000,condo,3,4,112,sale,1994.0,False,1.4573886534664844,3,1,45,0,0,23.390865231294974
PROP1001,Elegant 2 Bedroom Apartment in Rose Hill,Rose Hill,Plaines Wilhems,Central,-20.2330265525688,57.4742228933429,125000,apartment,2,3,61,sale,1984.0,True,7.0893846667553255,0,1,55,0,0,3.45848504703303
PROP1002,Modern 1 Bedroom Apartment in Flic en Flac,Flic en Flac,Black River,West,-20.26947226474659,57.36915800513242,320000,apartment,1,1,122,sale,1988.0,True,4.051340344684167,0,1,85,0,1,12.21979274267586
PROP1003,Spacious 3 Bedroom Condo in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.225816084471795,57.469566769682025,315000,condo,3,4,162,rent,1986.0,True,7.03430636277144,3,0,55,0,0,4.346979272119878
PROP1004,Elegant 2 Bedroom Condo in Curepipe,Curepipe,Plaines Wilhems,Central,-20.31355082732363,57.524760297880064,260000,condo,2,2,131,rent,2006.0,True,6.259548347874627,3,0,55,0,0,0.9523293976668477
PROP1005,Spacious 5 Bedroom Condo in Belle Mare,Belle Mare,Flacq,East,-20.203250620524813,57.78169978915476,355000,condo,5,1,125,rent,2018.0,True,3.1783028896959573,3,0,75,0,1,31.724567934333194
PROP1006,Cozy 2 Bedroom Condo in Belle Mare,Belle Mare,Flacq,East,-20.198770008671705,57.77311327864062,360000,condo,2,3,119,rent,1988.0,True,2.8654653209663232,3,0,75,0,1,30.71157975908037
PROP1007,420 sqm Land in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.02659119130649,57.58694605857234,555000,land,0,0,420,sale,0.0,False,3.510084456255954,4,1,90,0,1,17.919052222401728
PROP1008,Cozy 4 Bedroom Apartment in Flic en Flac,Flic en Flac,Black River,West,-20.27754005460729,57.36001912580536,290000,apartment,4,5,115,rent,2023.0,True,4.4064151681456725,0,0,85,0,1,13.305675008146938
PROP1009,556 sqm Land in Curepipe,Curepipe,Plaines Wilhems,Central,-20.3172081416442,57.521927598229695,395000,land,0,0,556,rent,0.0,False,8.081822592444828,4,0,55,0,0,0.601858054781824
PROP1010,Luxurious 4 Bedroom Condo in Trou aux Biches,Trou aux Biches,Pamplemousses,North,-20.04179449603417,57.54641365249587,530000,condo,4,4,175,sale,2013.0,True,2.4985964442704667,3,1,85,0,1,14.337006497798205
PROP1011,Elegant 2 Bedroom Condo in Port Louis,Port Louis,Port Louis,North,-20.15917219847703,57.50259459763488,510000,condo,2,3,184,rent,1985.0,True,2.0205362711696147,3,0,65,0,0,0.5097662502048972
PROP1012,Modern 3 Bedroom House in Vacoas,Vacoas,Plaines Wilhems,Central,-20.297027832636505,57.47330097369646,215000,house,3,1,155,sale,1990.0,False,14.195634003718451,1,1,50,0,0,3.7440376804628763
PROP1013,Elegant 1 Bedroom Villa in Tamarin,Tamarin,Black River,West,-20.318509846715173,57.374307748399744,1235000,villa,1,2,306,rent,2019.0,False,4.187443463402625,2,0,80,0,0,13.121769740522621
