property_id,title,location,district,region,latitude,longitude,price,property_type,bedrooms,bathrooms,area_size,listing_type,year_built,furnished,dist_to_beach
PROP1000,Charming 3 Bedroom Condo in Mahebourg,Mahebourg,Grand Port,East,-20.400410714278017,57.709771071557334,195000,condo,3,4,112,sale,1994.0,False,1.4573886534664844
PROP1001,Elegant 2 Bedroom Apartment in Rose Hill,Rose Hill,Plaines Wilhems,Central,-20.233026552568802,57.4742228933429,125000,apartment,2,3,61,sale,1984.0,True,7.0893846667553255
PROP1002,Modern 1 Bedroom Apartment in Flic en Flac,Flic en Flac,Black River,West,-20.26947226474659,57.36915800513242,320000,apartment,1,1,122,sale,1988.0,True,4.051340344684167
PROP1003,Spacious 3 Bedroom Condo in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.225816084471795,57.469566769682025,315000,condo,3,4,162,rent,1986.0,True,7.03430636277144
PROP1004,Elegant 2 Bedroom Condo in Curepipe,Curepipe,Plaines Wilhems,Central,-20.31355082732363,57.524760297880064,260000,condo,2,2,131,rent,2006.0,True,6.259548347874627
PROP1005,Spacious 5 Bedroom Condo in Belle Mare,Belle Mare,Flacq,East,-20.203250620524813,57.78169978915476,355000,condo,5,1,125,rent,2018.0,True,3.1783028896959573
PROP1006,Cozy 2 Bedroom Condo in Belle Mare,Belle Mare,Flacq,East,-20.198770008671705,57.77311327864062,360000,condo,2,3,119,rent,1988.0,True,2.8654653209663232
PROP1007,420 sqm Land in Grand Baie,Grand Baie,Rivière du Rempart,North,-20.02659119130649,57.58694605857234,555000,land,0,0,420,sale,,False,3.510084456255954
PROP1008,Cozy 4 Bedroom Apartment in Flic en Flac,Flic en Flac,Black River,West,-20.27754005460729,57.36001912580536,290000,apartment,4,5,115,rent,2023.0,True,4.4064151681456725
PROP1009,556 sqm Land in Curepipe,Curepipe,Plaines Wilhems,Central,-20.3172081416442,57.521927598229695,395000,land,0,0,556,rent,,False,8.081822592444828
PROP1010,Luxurious 4 Bedroom Condo in Trou aux Biches,Trou aux Biches,Pamplemousses,North,-20.04179449603417,57.54641365249587,530000,condo,4,4,175,sale,2013.0,True,2.4985964442704667
PROP1011,Elegant 2 Bedroom Condo in Port Louis,Port Louis,Port Louis,North,-20.15917219847703,57.502594597634875,510000,condo,2,3,184,rent,1985.0,True,2.0205362711696147
PROP1012,Modern 3 Bedroom House in Vacoas,Vacoas,Plaines Wilhems,Central,-20.297027832636502,57.47330097369646,215000,house,3,1,155,sale,1990.0,False,14.195634003718453
PROP1013,Elegant 1 Bedroom Villa in Tamarin,Tamarin,Black River,West,-20.318509846715173,57.374307748399744,1235000,villa,1,2,306,rent,2019.0,False,4.187443463402625
PROP1014,Luxurious 2 Bedroom House in Rose Hill,Rose Hill,Plaines Wilhems,Central,-20.244742808488304,57.4756852036065,345000,house,2,3,234,sale,2023.0,False,10.253532788519927
PROP1015,Luxurious 4 Bedroom House in Mahebourg,Mahebourg,Grand Port,East,-20.411018186548176,57.69609626960318,365000,house,4,5,255,sale,1987.0,True,2.8970033455236015
PROP1016,Luxurious 3 Bedroom Condo in Beau Bassin,Beau Bassin,Plaines Wilhems,Central,-20.220910832426718,57.45845026852362,205000,condo,3,3,115,rent,2023.0,True,9.468389344607719
PROP1017,Beautiful 5 Bedroom Condo in Trou d'Eau Douce,Trou d'Eau Douce,Flacq,East,-20.220120153570374,57.77934761030661,210000,condo,5,3,89,rent,2010.0,False,4.6231842546332045
PROP1018,712 sqm Land in Port Louis,Port Louis,Port Louis,North,-20.16594842265727,57.499299565219545,620000,land,0,0,712,rent,,False,3.7176444439841605
PROP1019,Charming 3 Bedroom Condo in Quatre Bornes,Quatre Bornes,Plaines Wilhems,Central,-20.261373329512228,57.483893013395196,305000,condo,3,2,142,sale,2024.0,False,6.5275771393041335
PROP1020,Modern 2 Bedroom Villa in Belle Mare,Belle Mare,Flacq,East,-20.19563544749158,57.77790139318205,1310000,villa,2,2,351,sale,1994.0,True,1.2977492528401684
PROP1021,Luxurious 1 Bedroom Apartment in Belle Mare,Belle Mare,Flacq,East,-20.187189634803126,57.7722563536897,295000,apartment,1,2,121,sale,2023.0,True,2.7373862322636318
